5000 5000
2687 16949 1528
5101 9909 899
13032 15775 187
566 16716 865
15246 42 891
14431 4575 1891
18029 611 50
10828 18783 762
4332 8442 58
4434 8758 992
4661 4617 437
9192 5795 43
16752 11129 1285
3718 19851 1720
2417 6654 1443
14224 18729 844
16601 13406 607
11752 17650 1693
10106 11780 69
4855 15948 829
3460 10976 1406
13490 7494 878
10169 15569 1042
7865 9794 59
869 14068 1967
11864 7872 340
10045 19642 1541
10792 17206 464
10275 19050 1156
9183 5385 1096
19143 114 1568
16410 17724 1481
16183 10374 1123
8522 1122 1740
11400 3996 1009
9698 7136 692
10770 12470 1225
9163 559 459
3544 11689 1722
15969 15942 1633
5106 16835 1346
1664 333 29
15112 4991 219
12496 6888 139
3192 10548 336
5458 14232 909
6440 9475 47
7731 8418 376
2175 17997 1020
4182 12113 1634
416 357 293
14377 3204 1409
13564 10894 441
19512 15957 1033
4464 12970 790
11517 6425 1262
1175 5972 1936
17511 6128 1717
6207 18786 1488
8323 5047 16
17575 758 1639
19244 11406 343
17356 19476 1408
10177 7559 694
4115 13483 866
3882 2088 1332
5921 9996 651
17433 17994 36
4017 6555 1975
15654 6782 426
13489 16754 1865
6877 17648 1374
9690 19711 469
14510 1693 339
18220 4259 1518
12004 16823 736
6806 5824 1735
12080 19087 1775
2707 11023 208
782 1463 1733
15763 16570 682
12304 15638 756
11416 4474 163
5334 17816 1129
18502 9155 554
15741 16556 24
13408 1833 230
17702 800 479
19764 8420 231
3347 4828 1488
2056 18216 756
19406 18185 588
5068 9540 200
13041 792 21
19652 5911 1193
8997 6265 125
18268 19397 1940
2227 4304 1236
19600 10858 1377
13237 5181 1083
6146 4927 162
5616 19668 896
13040 12869 1882
7809 6135 654
6335 16943 1787
6056 6687 1088
11580 11919 490
407 4875 144
11024 1418 150
12708 5816 1585
9865 17253 308
10029 15900 154
18985 3465 1553
19698 16431 639
2137 10287 1839
5870 17876 283
18210 635 632
18062 16077 1815
16815 14924 1379
3563 8653 315
14297 13356 505
1288 19268 1617
10985 10828 1703
9066 7914 677
5159 488 1293
8334 11412 124
7099 2765 250
5182 16579 795
8022 12249 467
149 10574 1002
12977 8766 1373
14629 4767 990
9577 4501 824
11208 18139 1836
5504 12928 96
1431 10234 1755
3189 15321 1766
6236 13851 1698
7432 14026 1473
11892 17126 1794
19202 11425 352
5012 4352 1139
15155 1042 1363
14343 6959 1030
3296 14598 81
19625 16159 1257
5350 18258 1919
2782 15515 1684
13195 14008 890
18487 19425 765
16055 8658 329
6509 2526 1818
19189 2383 1201
8164 2361 591
4964 14992 8
3796 8775 42
12551 12113 1671
4132 5695 1085
5464 11715 502
13671 15822 1618
19473 10908 982
17114 15382 1141
7665 5681 216
16151 2361 1495
10906 19299 1522
19471 2732 1001
11452 6225 1006
7136 10568 1
8846 8991 609
7988 15662 1367
9846 12954 755
4078 77 555
11963 17634 1659
10219 19741 923
16692 8179 1490
19752 6107 340
12401 10619 719
70 7783 852
8105 17225 1169
14677 17959 1498
9854 14916 1281
12975 12594 814
12585 12675 1875
15650 16926 1535
16307 12109 699
5291 14161 1748
10885 3041 1666
9691 9342 90
10206 14895 845
7103 13137 39
10143 18923 1381
8038 13778 1210
4177 4154 1772
5381 1497 1662
10464 7364 1023
14735 3371 1306
14269 16300 539
12193 4642 1122
3447 15796 1734
6593 4446 1928
14134 16876 61
17988 12449 633
8635 15232 1571
3798 12518 331
19461 8871 1827
14565 12125 524
10532 2772 276
14315 7222 1503
4810 14363 1437
6110 2127 794
9847 1999 373
1106 11950 1778
4331 694 1408
16299 19283 1226
6849 16758 236
13853 1904 799
9900 7558 337
4634 16403 925
11599 4238 1430
6602 11872 1819
19888 924 1595
17152 6391 766
11605 18377 800
17601 15171 304
18274 303 290
13296 1142 759
2599 9258 1680
18122 709 121
16813 856 547
2348 1820 55
12750 14893 1374
16913 13260 779
12621 19392 1283
4862 1203 1871
11810 6992 1211
11205 10443 121
7064 8253 398
17602 8482 1325
14271 14866 1442
15044 5031 1953
3020 18373 1709
17044 1056 182
16261 9383 740
19694 802 1063
8867 2564 790
14153 17647 49
10490 1807 1601
1715 683 768
14652 6264 260
15892 16139 1712
6075 8497 491
11144 6602 677
15673 19126 1168
2093 13052 897
19761 14388 1670
14026 10712 1794
16633 5826 314
7407 10422 194
6907 11498 87
16299 13022 627
5966 7052 650
14971 10021 1052
2975 18289 651
6551 1376 1959
9594 18258 1856
19396 16313 1851
18446 16028 269
10474 11512 1985
15679 14059 1494
7231 18847 1287
8051 9291 1960
10643 3356 296
13745 11256 1814
3692 8222 1456
1002 1984 1091
5314 2138 523
12643 10528 157
1456 17013 1287
3467 17237 43
7362 16953 1421
5675 17826 1196
17310 17856 851
13512 10890 1890
15964 14517 1628
19964 5131 402
14936 15407 1029
9742 8075 1766
15925 11692 80
17023 9169 379
5987 13827 11
2401 6053 1775
14937 19416 1086
