500 1500
2 193 3
9 17 7
12 42 19
5 91 14
2 166 2
3 4 8
5 181 11
1 51 29
0 124 11
8 68 20
6 130 27
7 28 1
12 98 5
12 116 21
11 57 10
11 27 22
1 138 21
12 169 15
2 30 15
6 14 27
6 140 6
3 2 10
3 85 11
10 179 5
5 33 19
12 40 22
3 2 22
4 34 13
3 82 13
5 118 8
1 17 3
6 72 24
6 142 29
0 3 4
5 115 22
4 193 0
10 42 26
0 193 22
12 116 5
12 88 2
7 99 14
2 24 17
5 25 13
9 143 14
5 72 6
2 89 3
9 142 18
0 73 12
1 194 22
6 141 6
2 105 22
8 1 18
11 149 27
12 44 8
7 196 11
12 170 15
8 192 23
3 169 5
4 192 25
4 58 18
10 137 28
9 165 18
4 85 14
6 168 8
0 147 8
5 23 24
3 58 24
6 55 26
5 72 28
10 150 7
10 119 24
4 156 23
5 131 23
12 185 23
1 122 20
1 93 26
11 185 2
7 173 19
4 7 27
11 131 10
10 163 21
7 64 8
4 65 15
1 144 10
2 51 11
5 157 2
2 58 5
9 21 1
7 147 24
7 65 26
9 96 16
12 200 27
1 65 12
2 153 1
11 117 18
5 188 17
11 185 20
12 98 10
10 106 9
8 95 3
10 100 29
6 188 8
2 105 23
10 130 3
5 7 11
12 69 20
8 28 20
1 37 17
1 193 12
8 193 3
12 7 18
8 198 10
12 130 14
2 47 10
4 74 24
4 126 1
1 142 26
4 6 6
4 73 16
3 130 23
10 149 17
3 169 8
11 89 18
6 131 10
7 148 10
7 91 14
4 109 21
2 29 24
1 159 22
2 127 7
11 39 3
0 144 6
4 196 22
9 115 19
0 163 9
11 83 27
0 197 2
6 96 29
9 197 27
5 29 4
9 191 19
4 120 19
3 139 5
0 12 14
9 45 11
9 52 15
7 81 6
9 140 5
10 131 25
10 99 21
4 131 2
4 101 26
8 182 26
12 124 18
6 44 23
7 32 7
2 145 17
2 138 16
3 89 29
1 47 17
10 185 11
9 23 11
11 133 13
7 97 16
11 196 6
9 189 18
6 74 14
7 122 3
12 55 16
2 126 2
4 77 9
6 31 14
10 126 29
12 95 14
9 176 16
8 138 15
6 80 13
6 161 4
1 185 15
9 184 22
7 191 18
5 36 4
10 180 10
6 136 18
3 183 16
9 138 13
9 38 16
8 126 8
2 20 3
2 97 17
9 88 23
0 70 3
6 115 17
5 73 9
1 38 14
7 20 25
0 25 13
4 104 20
7 157 14
8 84 3
0 36 13
3 112 20
11 30 28
0 178 29
4 160 15
7 172 28
3 44 27
7 181 6
11 32 4
3 186 11
5 58 2
5 99 10
9 62 29
11 116 3
7 124 19
5 145 29
9 8 18
8 109 28
0 3 21
1 27 24
4 177 24
8 72 2
12 175 27
6 56 18
5 38 3
5 29 8
12 187 26
6 153 4
8 195 23
12 126 9
0 54 24
6 125 24
3 28 26
7 5 20
9 153 3
3 145 20
4 194 9
11 27 13
12 139 22
11 126 16
10 106 28
9 0 8
11 23 0
7 139 29
12 125 20
6 170 20
1 125 1
4 67 27
2 75 16
2 91 8
9 159 17
11 98 22
1 77 9
11 100 11
8 191 24
10 133 24
7 78 9
3 67 15
11 47 11
3 96 1
8 172 27
4 33 21
9 38 1
8 76 15
7 177 3
3 6 20
1 171 18
6 53 26
1 116 24
8 9 3
3 146 4
12 178 17
11 127 4
5 4 13
12 81 19
4 135 10
11 82 8
5 15 9
9 81 13
3 165 26
5 0 12
11 130 6
1 178 2
8 119 5
5 173 29
0 6 7
0 186 2
4 172 13
3 12 6
4 170 13
7 52 12
12 22 21
4 84 21
4 98 14
6 14 11
4 84 8
5 148 2
0 107 17
10 6 0
7 43 14
3 17 16
4 97 26
5 169 8
2 80 8
9 24 21
2 82 6
1 27 29
1 185 13
11 36 17
8 61 18
11 83 0
7 156 13
10 71 13
5 18 2
8 178 5
11 65 12
0 1 17
11 127 3
8 26 14
9 77 9
4 58 0
9 78 5
4 8 14
7 124 13
12 30 5
7 82 9
9 103 16
8 84 15
12 32 13
7 153 2
1 53 20
2 7 12
2 138 28
9 114 12
0 87 15
3 82 28
4 52 13
12 8 13
12 106 9
4 139 3
12 139 27
2 3 9
6 106 18
0 188 4
2 25 11
2 143 10
1 73 24
7 13 17
6 104 22
1 140 23
11 77 6
9 200 29
7 64 27
1 129 25
7 149 12
9 43 20
1 34 3
4 1 21
11 168 1
6 26 17
0 191 13
2 83 9
6 82 29
4 13 16
6 71 28
10 82 4
11 161 27
5 47 15
6 147 4
12 108 8
7 13 24
7 40 1
6 160 7
12 122 15
12 71 21
4 70 15
12 19 11
0 83 1
10 136 28
9 69 18
2 87 3
12 133 7
6 78 26
8 141 18
1 114 25
4 0 9
0 114 14
1 173 7
5 29 15
7 141 0
2 30 9
10 170 22
7 5 8
6 147 11
5 63 15
5 73 27
7 133 25
9 51 22
8 105 21
10 58 8
6 19 23
2 62 23
11 52 3
8 123 12
2 195 2
11 47 7
5 27 22
2 55 10
10 7 22
3 131 29
2 6 8
9 46 9
12 173 28
2 139 9
9 165 19
6 131 20
2 143 3
11 68 2
0 121 2
5 8 20
11 4 18
8 111 29
4 179 16
2 55 3
9 44 17
10 51 19
8 86 23
5 29 2
1 145 15
1 190 0
7 96 26
7 169 6
6 156 11
9 83 10
3 137 29
0 42 1
2 101 16
9 25 25
2 156 11
6 168 27
7 12 9
9 164 26
7 20 8
5 27 10
4 145 13
7 59 21
7 16 27
1 49 2
10 172 13
9 160 25
12 130 18
0 44 29
6 188 6
10 159 21
4 199 10
12 188 2
0 81 7
5 36 22
1 120 9
4 121 0
9 93 22
10 184 0
3 69 16
3 87 15
9 16 11
3 85 10
3 188 0
0 146 6
11 127 24
12 150 28
2 40 0
0 160 21
3 29 2
6 198 0
7 140 7
2 184 23
4 192 13
10 141 13
4 19 11
9 65 9
4 16 26
8 124 25
7 82 25
2 150 29
1 47 11
9 104 12
11 84 6
0 195 29
12 118 16
12 109 10
8 48 15
2 46 11
9 164 2
6 169 2
3 128 8
11 6 20
7 53 21
3 15 15
0 116 6
6 193 20
6 158 8 182
11 195 11 198
9 169 11 172
5 53 9 71
1 189 6 198
7 79 10 188
1 136 12 199
6 10 10 101
11 48 11 62
6 128 9 191
11 28 12 104
1 38 7 108
3 12 10 180
1 173 5 199
11 192 11 198
0 8 7 61
11 103 11 153
5 3 12 121
8 167 11 167
8 125 11 169
10 16 11 162
4 185 12 194
8 12 9 112
0 129 6 139
7 89 7 113
2 104 7 143
10 7 12 93
2 53 4 200
6 58 8 187
3 169 6 169
0 181 12 198
6 3 9 52
5 174 6 192
1 8 2 80
1 148 6 173
2 115 2 125
1 60 11 100
2 95 2 133
7 115 12 154
6 26 9 181
7 11 9 154
0 182 10 193
9 98 11 148
8 37 9 85
6 175 9 188
10 29 10 142
9 106 10 182
6 5 6 165
3 23 5 161
1 77 10 127
5 22 6 69
3 50 4 89
7 188 9 194
2 78 4 122
1 183 10 185
0 88 4 189
2 177 11 189
10 162 10 196
11 87 12 94
10 197 12 200
8 127 10 160
4 35 4 94
